0,1,2,3,4,5,6,7,8,9,10,11,12,13
Revenue,"1,496","1,667","1,820","1,992","2,118","2,275","2,458","2,531","2,736","2,830","3,769","3,911","4,113"
Interest,676,730,844,909,965,"1,062","1,212","1,282","1,411","1,492","1,848","1,936","2,091"
Expenses +,694,859,779,875,925,"1,016","1,048","1,122","1,269","1,361","1,761","1,854","1,938"
Financing Profit,127,78,197,208,228,197,198,127,56,-24,160,121,85
Financing Margin %,8%,5%,11%,10%,11%,9%,8%,5%,2%,-1%,4%,3%,2%
Other Income +,276,311,159,247,295,333,315,406,442,479,509,638,618
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,402,389,356,456,523,530,513,533,498,455,669,759,703
Tax %,25%,11%,25%,25%,25%,20%,25%,25%,25%,18%,25%,25%,25%
Net Profit +,302,346,268,343,393,425,387,402,375,371,503,571,528
EPS in Rs,4.81,5.49,4.25,5.15,5.89,6.37,5.80,6.01,5.61,5.54,6.76,7.68,7.10
Gross NPA %,2.60%,1.98%,1.96%,1.90%,1.81%,1.66%,1.76%,1.91%,1.98%,1.67%,1.78%,1.98%,2.31%
Net NPA %,1.29%,0.50%,0.56%,0.56%,0.51%,0.42%,0.55%,0.60%,0.68%,0.55%,0.63%,0.75%,0.91%
Raw PDF,,,,,,,,,,,,,
