0,1,2,3,4,5,6,7,8,9,10,11,12,13
Equity Capital,40,43,44,44,284,286,292,304,312,315,667,669,744
Reserves,425,598,767,965,"1,703","1,995","2,871","4,073","5,963","7,199","10,311","11,890","15,204"
Deposits,0,0,0,0,0,"7,923","19,422","26,164","35,979","52,585","69,365","87,182","109,693"
Borrowings +,"2,482","2,130","2,878","4,783","7,120","7,639","8,613","10,335","7,030","5,991","6,299","5,479","8,777"
Other Liabilities +,192,242,346,502,674,"8,913","20,847","27,431","38,286","55,573","72,940","91,387","114,104"
Total Liabilities,"3,139","3,013","4,035","6,294","9,781","18,833","32,623","42,143","51,591","69,078","90,216","109,426","138,829"
Fixed Assets +,17,17,19,24,36,380,440,438,477,609,707,784,920
CWIP,0,0,0,0,240,6,7,10,5,14,33,67,0
Investments,739,114,140,232,"2,150","3,051","7,162","10,668","10,815","15,306","20,072","27,133","31,861"
Other Assets +,"2,384","2,883","3,877","6,038","7,355","15,396","25,014","31,027","40,294","53,149","69,404","81,441","106,048"
Total Assets,"3,139","3,013","4,035","6,294","9,781","18,833","32,623","42,143","51,591","69,078","90,216","109,426","138,829"
