Company Name,Date,Title,Description,Sentiment Score,Sentiment,URL
MARUTI,2025-02-28T03:53:32Z,"Stocks to buy today: Bharti Airtel, Maruti among top 6 trading ideas for 28 February 2025","The Indian market is expected to consolidate on Friday, with Nifty futures closing 0.17% lower on February 27. Options data suggests a trading range between 22,000 and 23,000 zones, with an immediate range of 22,300 to 22,800. Analysts have shared stock recom…",0.5719,Positive,https://economictimes.indiatimes.com/markets/stocks/news/stocks-to-buy-today-bharti-airtel-maruti-among-top-6-trading-ideas-for-28-february-2025/articleshow/118616788.cms
MARUTI,2025-02-27T07:29:28Z,Hemang Jani on attractive investment opportunities amidst market correction,"Market Expert Hemang Jani in an interview with ET Now said that after a major correction, US markets are showing signs of stabilization, which could positively influence FIIs. If the US markets and the dollar index stabilize, the selling pressure from foreign…",0.8779,Positive,https://m.economictimes.com/markets/stocks/news/hemang-jani-on-attractive-investment-opportunities-amidst-market-correction/us-market-outlook-and-dollar-index/slideshow/118597782.cms
MARUTI,2025-02-27T07:12:36Z,Toyota Teases New Electric Coupe SUV Ahead Of March 11 Debut,The new electric coupe SUV from Toyota will likely have multiple choices for the powertrain on offer.,-0.296,Negative,https://www.ndtv.com/auto/toyota-teases-new-electric-coupe-suv-ahead-of-march-11-debut-7805840
MARUTI,2025-02-27T04:52:37Z,Fertilizer sector and NBFCs show strong value amid market volatility: Hemang Jani,"For the size of UltraTech, the balance sheet and the presence it has in the cement looks like a small investment of about Rs 1,800 crore. So, I do not think for UltraTech, it is going to move the needle too much.",0.191,Positive,https://economictimes.indiatimes.com/markets/expert-view/fertilizer-sector-and-nbfcs-show-strong-value-amid-market-volatility-hemang-jani/articleshow/118593183.cms
MARUTI,2025-02-27T03:31:00Z,Premiumisation story may have peaked out in auto; bet on capital market theme: Dhananjay Sinha,"Dhananjay Sinha of Systematix Group believes the premiumisation trend in the auto sector has peaked due to higher average selling prices and increased credit inflow. He predicts a slowdown in demand for premium vehicles, but sees potential in two-wheelers lik…",0.2732,Positive,https://economictimes.indiatimes.com/markets/expert-view/premiumisation-story-may-have-peaked-out-in-auto-bet-on-capital-market-theme-dhananjay-sinha/articleshow/118572320.cms
MARUTI,2025-02-26T09:29:04Z,"High conviction stock ideas! Bajaj Finance, TCS among 10 picks from InCred Equities","Brokerage firm InCred Equities is positive on several stocks. These stocks include HDFC Bank, Maruti Suzuki, TCS, SBI, and Bajaj Finance. Here's a list of 10 high-conviction stock ideas from InCred Equities: Stock Picks",0.8172,Positive,https://m.economictimes.com/markets/stocks/news/high-conviction-stock-ideas-bajaj-finance-tcs-among-10-picks-from-incred-equities/stock-picks/slideshow/118577188.cms
MARUTI,2025-02-26T02:51:35Z,One-third of NSE 500 stocks now cheaper than pre-covid valuation,"Around a third of NSE 500 stocks are trading at valuations below their pre-Covid levels, based on PE and P/B ratios. Significant blue-chip companies such as HDFC Bank, Bharti Airtel, and Maruti Suzuki are 10-60% cheaper, indicating potential value buys despit…",0.4939,Positive,https://economictimes.indiatimes.com/markets/stocks/news/one-third-of-nse-500-stocks-now-cheaper-than-pre-covid-valuation/articleshow/118570118.cms
MARUTI,2025-02-25T13:05:59Z,"Nifty target cut to 25,689 as weak earnings and FII outflows weigh: Prabhudas Lilladher","Nifty 50 has dropped 14% from its peak due to weak earnings, FII outflows, and trade tensions. Prabhudas Lilladher cut its target to 25,689, citing macroeconomic pressures but expects a gradual recovery with easing inflation and policy support.",-0.743,Negative,https://economictimes.indiatimes.com/markets/stocks/news/nifty-target-cut-to-25689-as-weak-earnings-and-fii-outflows-weigh-prabhudas-lilladher/articleshow/118560046.cms
MARUTI,2025-02-25T11:32:43Z,Stock market update: Fertilisers stocks up as market rises,The 30-share BSE Sensex closed  up  147.71 points at 74602.12,0.0,Neutral,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-fertilisers-stocks-up-as-market-rises/articleshow/118557869.cms
MARUTI,2025-02-25T11:09:00Z,Suzuki Motor unit opens first new India plant in eight years,"India’s largest carmaker by sales had last opened a new factory in Gujarat, the home state of Prime Minister Narendra Modi, in 2017.",0.3612,Positive,https://www.japantimes.co.jp/business/2025/02/25/companies/suzuki-new-india-plant/
