0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,452,566,600,567,698,766,"2,207","1,947","1,966","3,168","3,749","4,244","4,763"
Expenses +,401,502,534,504,622,677,"1,949","1,717","1,764","2,844","3,411","3,945","4,411"
Operating Profit,51,63,66,63,76,89,258,230,202,324,338,299,352
OPM %,11%,11%,11%,11%,11%,12%,12%,12%,10%,10%,9%,7%,7%
Other Income +,7,6,10,11,26,11,25,15,13,24,38,27,52
Interest,26,22,21,28,30,27,59,64,57,75,109,134,151
Depreciation,12,14,16,21,23,25,75,74,76,85,100,109,115
Profit before tax,21,34,39,25,49,47,148,107,82,188,166,82,139
Tax %,33%,28%,14%,1%,19%,32%,35%,35%,36%,16%,27%,26%,
Net Profit +,14,24,34,25,40,32,97,69,53,157,122,61,105
EPS in Rs,0.67,1.19,1.65,1.21,1.95,1.57,4.74,2.94,2.24,6.64,5.14,2.57,4.43
Dividend Payout %,15%,13%,30%,29%,21%,25%,10%,12%,13%,8%,13%,29%,
