0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,811,"1,055",849,"1,010",927,964,844,808,"1,260","1,332","1,054","1,100","1,277"
Expenses +,731,946,772,919,838,882,765,741,"1,172","1,266",957,"1,013","1,175"
Operating Profit,81,109,76,91,88,82,79,66,89,65,98,87,102
OPM %,10%,10%,9%,9%,10%,8%,9%,8%,7%,5%,9%,8%,8%
Other Income +,9,6,5,11,10,12,8,8,3,8,9,19,16
Interest,19,19,21,26,32,31,33,33,36,32,33,38,48
Depreciation,22,22,24,25,25,26,27,27,27,28,28,29,29
Profit before tax,49,74,37,52,41,37,26,14,29,13,45,39,42
Tax %,34%,-15%,26%,26%,28%,27%,25%,27%,28%,22%,25%,22%,27%
Net Profit +,32,85,27,38,29,27,19,11,21,10,34,30,30
EPS in Rs,1.37,3.59,1.15,1.62,1.25,1.13,0.82,0.45,0.88,0.43,1.43,1.29,1.28
Raw PDF,,,,,,,,,,,,,
