0,1,2,3,4,5,6,7,8
Equity Capital,4,4,4,4,11,11,11,11
Reserves,108,154,166,227,427,524,645,716
Borrowings +,129,129,152,149,16,12,7,5
Other Liabilities +,37,30,38,49,51,94,87,59
Total Liabilities,278,317,360,428,505,641,750,790
Fixed Assets +,22,20,40,33,28,29,38,52
CWIP,0,0,0,0,0,7,9,0
Investments,168,204,204,275,313,379,427,465
Other Assets +,87,94,116,120,165,226,275,274
Total Assets,278,317,360,428,505,641,750,790
