0,1,2,3,4,5,6,7
Debtor Days,72,64,76,68,78,82,109
Inventory Days,142,86,120,74,175,71,12
Days Payable,84,91,150,99,115,130,195
Cash Conversion Cycle,130,59,46,43,137,23,-74
Working Capital Days,25,30,38,6,69,11,56
ROCE %,,9%,11%,19%,21%,27%,29%
