0,1,2,3,4,5,6,7
Cash from Operating Activity +,26,23,24,79,31,100,67
Cash from Investing Activity +,-26,-20,-2,-57,-11,-57,-50
Cash from Financing Activity +,-0,-0,-18,-6,-14,-5,-21
Net Cash Flow,-0,3,4,17,5,38,-4
