0,1,2,3,4,5,6,7,8,9,10,11
Cash from Operating Activity +,0,-11,57,-15,50,23,-17,-22,3,-15,-209
Cash from Investing Activity +,0,"-3,683","-3,747","-2,311",-246,-266,"1,971",191,240,"-1,665","-2,001"
Cash from Financing Activity +,0,"3,694","3,691","2,325",703,-234,"-1,184",-961,-248,"1,681","2,210"
Net Cash Flow,0,0,2,-0,506,-477,770,-793,-6,0,-0
