0,1,2,3,4,5,6,7,8,9,10,11
Debtor Days,,412,102,50,13,4,41,0,0,1,15
Inventory Days,,,,,,,,,,,
Days Payable,,,,,,,,,,,
Cash Conversion Cycle,,412,102,50,13,4,41,0,0,1,15
Working Capital Days,,354,142,165,-64,-101,250,125,350,280,178
ROCE %,,0%,4%,9%,7%,7%,6%,5%,6%,5%,7%
