0,1,2,3,4,5,6,7,8,9,10,11,12
Equity Capital,0.05,"1,090","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,115","1,115","1,201"
Reserves,0,-18,"1,149","1,021","2,753","4,059","3,711","2,987","2,877","9,211","9,806","18,161"
Borrowings +,0,"2,627","5,304","7,976","7,797","7,154","7,856","7,864","8,549","2,602","5,166","6,231"
Other Liabilities +,0,12,68,683,597,498,268,234,141,38,308,706
Total Liabilities,0,"3,711","7,621","10,779","12,247","12,811","12,934","12,185","12,666","12,966","16,395","26,299"
Fixed Assets +,0,0,1,1,1,1,1,1,1,0,9,9
CWIP,0,0,0,0,0,0,0,0,0,8,4,33
Investments,0,"3,683","3,686","3,815","3,783","6,958","5,984","6,203","6,681","6,721","9,030","11,044"
Other Assets +,0,28,"3,934","6,964","8,463","5,852","6,948","5,981","5,984","6,237","7,352","15,213"
Total Assets,0,"3,711","7,621","10,779","12,247","12,811","12,934","12,185","12,666","12,966","16,395","26,299"
