0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"1,913","2,143","2,057","2,168","2,307","2,590","2,859","2,599","2,380","3,110","3,918","4,146","4,235"
Expenses +,"1,746","1,912","1,740","1,765","1,879","2,114","2,338","2,155","1,937","2,342","3,110","3,426","3,521"
Operating Profit,167,231,317,403,428,476,520,445,444,768,808,720,714
OPM %,9%,11%,15%,19%,19%,18%,18%,17%,19%,25%,21%,17%,17%
Other Income +,11,6,13,4,28,21,18,15,40,24,21,29,87
Interest,169,162,159,143,144,123,135,144,138,118,101,131,122
Depreciation,149,137,107,105,76,92,115,132,127,155,154,165,172
Profit before tax,-140,-63,64,158,237,282,288,184,218,519,575,454,507
Tax %,-34%,-36%,21%,38%,37%,34%,34%,13%,36%,33%,36%,26%,
Net Profit +,-92,-40,50,97,148,185,190,160,139,348,368,336,374
EPS in Rs,-3.78,-1.65,2.07,4.00,6.09,7.62,7.82,6.58,5.71,14.30,15.13,13.80,15.38
Dividend Payout %,0%,0%,0%,15%,16%,20%,13%,15%,18%,14%,13%,14%,
