0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,812,926,904,994,987,"1,033","1,053","1,081",999,"1,030","1,063","1,089","1,054"
Expenses +,595,681,681,775,794,860,842,895,835,856,892,885,888
Operating Profit,217,245,223,219,193,173,211,186,164,173,171,204,166
OPM %,27%,26%,25%,22%,20%,17%,20%,17%,16%,17%,16%,19%,16%
Other Income +,5,9,5,6,5,6,3,4,3,4,5,7,71
Interest,28,27,25,25,26,25,33,33,33,31,31,30,30
Depreciation,42,38,39,38,38,39,38,40,42,44,42,43,43
Profit before tax,152,189,164,162,134,116,143,116,92,102,103,138,164
Tax %,34%,32%,35%,35%,36%,40%,26%,27%,26%,26%,26%,33%,21%
Net Profit +,100,129,107,106,86,70,106,85,68,76,76,93,129
EPS in Rs,4.12,5.31,4.40,4.35,3.52,2.86,4.36,3.50,2.81,3.13,3.15,3.81,5.29
Raw PDF,,,,,,,,,,,,,
