0,1,2,3,4,5,6,7,8,9,10,11,12,13
Equity Capital,12,12,16,15,16,16,16,16,16,16,16,16,16
Reserves,598,822,"1,379","1,662","2,074","2,395","2,847","3,631","5,887","7,142","7,937","8,979","9,157"
Borrowings +,123,176,166,117,6,6,5,5,5,5,4,4,3
Other Liabilities +,187,277,197,292,378,512,655,435,588,671,815,542,737
Total Liabilities,920,"1,287","1,758","2,086","2,474","2,928","3,523","4,086","6,496","7,834","8,773","9,541","9,913"
Fixed Assets +,309,460,649,788,872,843,929,968,954,"1,502","1,571","1,694","1,673"
CWIP,202,208,192,202,161,199,123,188,338,191,177,120,129
Investments,0,0,0,0,0,0,0,0,1,163,8,"2,386","2,790"
Other Assets +,409,619,917,"1,096","1,441","1,887","2,471","2,929","5,203","5,978","7,017","5,342","5,322"
Total Assets,920,"1,287","1,758","2,086","2,474","2,928","3,523","4,086","6,496","7,834","8,773","9,541","9,913"
