0,1,2,3,4,5,6,7,8,9,10,11,12
Cash from Operating Activity +,,,,220,476,202,185,701,605,791,368,"1,136"
Cash from Investing Activity +,,,,-12,-100,-359,-319,-761,"-1,521","-1,007","1,211","-2,918"
Cash from Financing Activity +,,,,-93,-116,-4,-3,-7,"1,238",35,15,-7
Net Cash Flow,,,,115,260,-160,-136,-67,322,-181,"1,594","-1,789"
