0,1,2,3,4,5,6,7,8,9,10,11,12
Debtor Days,73,34,66,38,59,32,48,40,87,73,74,64
Inventory Days,,,,,,,,,,,,
Days Payable,,,,,,,,,,,,
Cash Conversion Cycle,73,34,66,38,59,32,48,40,87,73,74,64
Working Capital Days,-352,-528,-461,-279,-406,-382,-429,-57,23,45,68,61
ROCE %,7%,6%,8%,7%,3%,4%,4%,3%,5%,5%,5%,14%
