0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"2,253","2,693","3,944","3,884","2,792","3,381","3,732","3,284","3,302","4,625","5,787","6,763","5,636"
Expenses +,494,833,"1,354","1,528","1,811","2,370","2,553","2,396","2,144","3,512","4,671","4,526","3,443"
Operating Profit,"1,759","1,861","2,591","2,356",981,"1,011","1,180",888,"1,158","1,113","1,116","2,237","2,193"
OPM %,78%,69%,66%,61%,35%,30%,32%,27%,35%,24%,19%,33%,39%
Other Income +,38,47,122,80,88,349,194,"-2,439",376,235,135,-410,-71
Interest,"1,124","1,448","2,118","2,344","1,806","1,492","1,433",650,578,556,560,449,425
Depreciation,324,447,465,566,487,487,475,479,480,481,464,465,471
Profit before tax,349,13,130,-474,"-1,224",-619,-533,"-2,680",476,311,227,913,"1,226"
Tax %,6%,-47%,-6%,-51%,-38%,-15%,-29%,31%,23%,65%,74%,25%,
Net Profit +,329,20,137,-232,-761,-527,-378,"-3,505",366,108,59,686,908
EPS in Rs,1.12,0.07,0.47,-0.79,-1.27,-0.88,-0.63,-5.12,0.53,0.16,0.09,1.00,1.33
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
