0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,471,433,482,435,402,443,441,529,554,507,354,258,260
Expenses +,135,127,122,101,132,148,105,119,175,129,53,65,68
Operating Profit,336,306,360,334,270,295,336,410,379,378,301,193,193
OPM %,71%,71%,75%,77%,67%,67%,76%,78%,68%,75%,85%,75%,74%
Other Income +,39,6,4,104,13,48,18,266,21,30,33,294,41
Interest,5,3,1,1,1,1,1,1,1,2,1,1,1
Depreciation,49,49,48,49,49,48,47,48,49,49,49,51,51
Profit before tax,320,260,315,388,233,293,307,628,351,357,284,435,182
Tax %,23%,22%,25%,19%,27%,23%,25%,15%,25%,27%,25%,10%,25%
Net Profit +,248,202,235,314,171,224,229,532,262,261,212,389,136
EPS in Rs,4.40,3.58,4.17,5.57,3.03,3.98,4.06,9.43,4.65,4.63,3.76,6.90,2.40
Raw PDF,,,,,,,,,,,,,
