0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"1,173","1,051","1,065",992,"1,028","1,332","1,877","2,363","2,079","2,020","1,762","2,032","1,380"
Expenses +,101,122,136,126,139,184,334,789,612,620,503,527,315
Operating Profit,"1,072",929,928,866,888,"1,148","1,543","1,574","1,467","1,400","1,259","1,504","1,064"
OPM %,91%,88%,87%,87%,86%,86%,82%,67%,71%,69%,71%,74%,77%
Other Income +,66,55,39,66,88,73,59,65,69,133,168,335,398
Interest,126,142,118,80,60,35,219,164,93,31,5,5,5
Depreciation,186,184,189,183,179,175,180,195,203,196,194,192,200
Profit before tax,826,658,660,669,738,"1,011","1,203","1,280","1,240","1,306","1,229","1,642","1,257"
Tax %,35%,36%,38%,33%,33%,34%,34%,13%,25%,23%,23%,22%,
Net Profit +,538,419,410,445,497,668,795,"1,109",924,"1,010",945,"1,285",998
EPS in Rs,9.56,7.45,7.29,7.91,8.81,11.86,14.09,19.65,16.38,17.90,16.75,22.77,17.69
Dividend Payout %,10%,13%,16%,19%,17%,15%,14%,10%,12%,11%,30%,22%,
