0,1,2,3,4,5,6,7,8
Cash from Operating Activity +,124,,152,193,201,235,431,341
Cash from Investing Activity +,-112,,-104,-45,-250,-313,-257,-699
Cash from Financing Activity +,-6,,-49,-56,-37,98,404,-66
Net Cash Flow,6,,-1,92,-86,20,577,-424
