0,1,2,3,4,5,6,7,8,9,10,11,12
Sales +,214,370,405,444,709,116,398,748,576,645,934,178
Expenses +,146,210,242,286,437,170,16,64,85,74,132,173
Operating Profit,68,160,163,159,272,-54,382,683,491,571,803,5
OPM %,32%,43%,40%,36%,38%,-47%,96%,91%,85%,88%,86%,3%
Other Income +,0,0,0,0,10,220,-100,19,19,19,34,671
Interest,5,12,17,18,61,14,48,25,44,60,86,117
Depreciation,1,1,3,8,13,13,11,12,13,14,15,18
Profit before tax,62,148,143,133,208,138,223,666,452,516,736,542
Tax %,34%,33%,28%,35%,24%,-10%,13%,4%,10%,4%,8%,
Net Profit +,41,99,103,86,158,152,193,640,407,496,679,465
EPS in Rs,,,,,,,5.55,18.21,11.48,13.92,18.92,12.71
Dividend Payout %,54%,26%,34%,51%,45%,56%,90%,96%,120%,496%,87%,
