0,1,2,3,4,5,6,7,8,9,10,11
Debtor Days,87,31,49,162,73,628,66,29,7,4,26
Inventory Days,,,,,,,,,,,
Days Payable,,,,,,,,,,,
Cash Conversion Cycle,87,31,49,162,73,628,66,29,7,4,26
Working Capital Days,114,170,-1,113,-2,739,19,100,-545,-218,-459
ROCE %,,61%,19%,10%,16%,2%,15%,28%,17%,17%,23%
