0,1,2,3,4,5,6,7,8,9,10,11
Cash from Operating Activity +,,-14,214,-65,304,-161,137,-64,"1,107",-434,793
Cash from Investing Activity +,,-88,-966,-8,-94,-907,452,554,"-1,202",677,93
Cash from Financing Activity +,,185,758,277,-94,663,-573,-375,24,-164,-939
Net Cash Flow,,83,6,204,117,-404,17,115,-71,78,-53
