0,1,2,3,4,5,6,7,8,9,10,11,12
Sales +,789,903,956,"1,130","1,177","1,182",839,889,"1,204","1,444","1,628","1,665"
Expenses +,520,604,651,777,850,860,748,702,952,"1,202","1,288","1,414"
Operating Profit,270,299,305,353,327,322,91,187,253,242,340,251
OPM %,34%,33%,32%,31%,28%,27%,11%,21%,21%,17%,21%,15%
Other Income +,142,32,45,44,47,89,261,104,386,273,493,501
Interest,0,0,0,0,0,1,0,7,8,6,3,3
Depreciation,23,24,24,29,28,29,24,66,70,68,67,43
Profit before tax,389,307,325,368,346,381,328,218,561,442,763,705
Tax %,28%,30%,32%,35%,31%,27%,19%,24%,14%,16%,12%,13%
Net Profit +,281,216,222,240,237,278,266,167,483,371,668,616
EPS in Rs,39.80,30.20,31.18,33.68,33.09,38.48,36.83,22.97,66.24,50.71,91.40,84.22
Dividend Payout %,48%,66%,74%,80%,85%,78%,87%,144%,69%,95%,59%,31%
