0,1,2,3,4,5,6,7,8
Cash from Operating Activity +,277,303,287,492,502,550,468,684
Cash from Investing Activity +,-212,-65,68,-66,-340,-298,-134,-512
Cash from Financing Activity +,-60,-240,-361,-422,-162,-255,-334,-168
Net Cash Flow,5,-3,-6,4,1,-3,-0,4
