0,1,2,3,4,5,6,7,8,9
Sales +,987,"1,294","1,391","1,215","1,174","1,376","1,327","1,611","1,596"
Expenses +,646,770,730,521,451,457,506,575,653
Operating Profit,341,524,661,693,724,919,821,"1,036",944
OPM %,35%,41%,48%,57%,62%,67%,62%,64%,59%
Other Income +,2,0,0,0,4,3,4,5,302
Interest,0,0,0,5,6,5,4,6,6
Depreciation,8,10,13,36,36,35,33,34,39
Profit before tax,335,515,648,652,685,882,788,"1,002","1,200"
Tax %,34%,34%,31%,26%,25%,25%,25%,23%,
Net Profit +,221,341,449,486,516,660,591,774,904
EPS in Rs,122.83,189.71,249.37,269.94,286.58,22.93,20.52,26.87,31.36
Dividend Payout %,23%,59%,67%,68%,28%,50%,50%,50%,
