0,1,2,3,4,5,6,7,8,9
Equity Capital,18,18,18,18,18,144,144,144,144
Reserves,973,"1,162","1,245","1,328","1,705","2,057","2,365","3,010","3,105"
Borrowings +,0,0,0,60,58,53,47,77,73
Other Liabilities +,253,339,205,188,216,180,221,251,291
Total Liabilities,"1,244","1,519","1,468","1,594","1,997","2,434","2,777","3,483","3,614"
Fixed Assets +,16,25,30,84,76,71,69,109,108
CWIP,2,0,2,1,1,3,2,2,1
Investments,975,"1,215","1,212","1,332","1,795","2,190","2,428","3,191","3,284"
Other Assets +,250,278,224,177,125,171,278,181,220
Total Assets,"1,244","1,519","1,468","1,594","1,997","2,434","2,777","3,483","3,614"
