0,1,2,3,4,5,6,7,8
Debtor Days,15,11,6,11,8,5,5,7
Inventory Days,,,,,,,,
Days Payable,,,,,,,,
Cash Conversion Cycle,15,11,6,11,8,5,5,7
Working Capital Days,-24,-61,-34,-2,-27,-6,10,-4
ROCE %,,47%,53%,49%,43%,44%,33%,35%
