0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"2,626","2,546","3,288","2,826","2,903","2,872","3,129","3,225","2,920","3,218","3,216","3,407","3,668"
Expenses +,"1,811","2,024","2,660","2,349","2,482","2,361","2,522","2,566","2,323","2,462","2,417","2,507","2,574"
Operating Profit,815,522,627,477,421,511,606,658,598,756,799,901,"1,094"
OPM %,31%,20%,19%,17%,14%,18%,19%,20%,20%,23%,25%,26%,30%
Other Income +,49,227,147,125,118,69,106,-247,8,"1,402",104,-20,140
Interest,-0,0,0,0,0,0,1,6,4,2,2,2,2
Depreciation,18,20,25,25,27,38,49,83,79,68,66,70,70
Profit before tax,847,729,749,576,511,542,664,322,524,"2,087",835,809,"1,162"
Tax %,32%,31%,37%,35%,34%,35%,36%,66%,32%,19%,27%,28%,
Net Profit +,577,502,472,375,337,352,425,110,358,"1,691",608,585,852
EPS in Rs,34.08,29.63,27.84,22.11,19.88,20.78,25.11,6.50,21.11,99.79,35.88,34.51,50.29
Dividend Payout %,73%,84%,112%,113%,75%,84%,80%,616%,142%,90%,89%,93%,
