0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,808,792,729,906,799,782,738,953,805,911,811,"1,000",946
Expenses +,611,618,582,649,571,615,597,667,587,656,582,681,656
Operating Profit,197,173,148,257,228,167,141,287,218,255,229,319,290
OPM %,24%,22%,20%,28%,29%,21%,19%,30%,27%,28%,28%,32%,31%
Other Income +,5,"1,322",31,22,12,38,54,28,-135,32,36,37,35
Interest,1,0,1,0,0,1,0,0,0,1,0,0,0
Depreciation,18,15,16,16,16,17,16,18,17,18,16,17,19
Profit before tax,183,"1,480",162,262,224,187,179,297,65,269,248,339,306
Tax %,18%,18%,27%,26%,27%,30%,27%,27%,30%,28%,27%,27%,25%
Net Profit +,150,"1,218",119,194,164,131,131,216,45,193,182,249,229
EPS in Rs,8.83,71.89,7.01,11.43,9.68,7.76,7.71,12.72,2.69,11.40,10.72,14.68,13.49
Raw PDF,,,,,,,,,,,,,
