0,1,2,3,4,5,6,7,8,9,10,11,12
Cash from Operating Activity +,206,190,263,277,537,219,312,301,467,542,736,735
Cash from Investing Activity +,-98,-176,-146,-139,-340,-201,-137,-116,-163,-66,-501,105
Cash from Financing Activity +,-96,-20,-101,-128,-198,-1,-181,-134,-269,-457,-105,"-1,048"
Net Cash Flow,11,-6,16,9,-1,18,-6,51,35,19,130,-207
