0,1,2,3,4,5,6,7,8,9,10,11,12
Cash from Operating Activity +,-128,"2,832","4,240","9,845","8,139","2,740","7,699","7,199","6,047","12,564","12,491","13,535"
Cash from Investing Activity +,-303,-232,"1,878","-7,422","-13,606","21,033","3,954",887,"8,768","6,408","16,312","6,173"
Cash from Financing Activity +,394,-506,"-6,194","-1,223","4,817","-23,545","-9,600","-9,449","-13,800","-16,315","-29,174","-23,367"
Net Cash Flow,-38,"2,095",-76,"1,200",-650,228,"2,053","-1,363","1,015","2,657",-371,"-3,659"
