0,1,2,3,4,5,6,7,8,9,10,11,12
Debtor Days,22,17,13,21,15,16,19,8,11,13,9,10
Inventory Days,"2,215",114,99,106,107,116,171,147,142,136,106,83
Days Payable,716,49,52,273,288,200,252,274,252,234,73,60
Cash Conversion Cycle,"1,521",81,60,-146,-166,-69,-62,-119,-98,-85,42,33
Working Capital Days,121,-89,-8,-453,-249,-122,-162,-189,-103,-46,-59,-1
ROCE %,3%,5%,8%,-6%,10%,5%,7%,5%,16%,21%,23%,12%
