0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"16,187","19,009","17,913","16,998","15,832","17,337","15,907","19,236","17,833","17,781","16,715","18,288","19,194"
Expenses +,"12,354","13,769","15,016","15,133","13,888","14,603","14,107","14,959","14,654","14,458","12,951","14,564","14,911"
Operating Profit,"3,833","5,240","2,897","1,865","1,944","2,734","1,800","4,277","3,179","3,323","3,764","3,724","4,283"
OPM %,24%,28%,16%,11%,12%,16%,11%,22%,18%,19%,23%,20%,22%
Other Income +,"4,965","1,122",174,381,"4,611","14,473","3,816","-1,336","2,570",-471,"3,418","9,881",454
Interest,840,868,858,"1,057","1,197","1,272","1,335","1,405","1,409","1,530","1,584","1,622","1,471"
Depreciation,772,742,873,950,"1,040",816,881,975,996,937,"1,026","1,051",929
Profit before tax,"7,186","4,752","1,340",239,"4,318","15,119","3,400",561,"3,344",385,"4,572","10,932","2,337"
Tax %,10%,13%,-25%,88%,-8%,2%,-0%,96%,8%,72%,9%,3%,24%
Net Profit +,"6,473","4,157","1,674",29,"4,684","14,872","3,408",22,"3,084",109,"4,183","10,553","1,783"
EPS in Rs,17.41,11.18,4.50,0.08,12.60,40.01,9.17,0.06,8.30,0.29,11.25,26.99,4.56
Raw PDF,,,,,,,,,,,,,
