0,1,2,3,4,5,6,7,8,9,10,11
Cash from Operating Activity +,,,18,49,16,42,50,48,67,71,27
Cash from Investing Activity +,,,-12,-51,-15,-47,-34,-45,-489,-97,12
Cash from Financing Activity +,,,-1,-2,-1,-1,-5,-5,450,-3,-0
Net Cash Flow,,,5,-4,1,-5,12,-2,27,-30,39
