0,1,2,3,4,5,6,7,8,9,10,11
Debtor Days,16,17,69,34,107,72,61,99,73,70,128
Inventory Days,,,,,,,,,,,
Days Payable,,,,,,,,,,,
Cash Conversion Cycle,16,17,69,34,107,72,61,99,73,70,128
Working Capital Days,20,15,62,-7,87,65,110,147,229,183,322
ROCE %,,59%,,58%,41%,26%,25%,28%,16%,16%,15%
