0,1,2,3,4,5,6,7,8,9,10,11,12
Equity Capital,0.80,0.80,0.80,0.80,0.81,0.81,0.81,0.81,20,20,21,21
Reserves,10,24,52,100,156,204,256,325,836,963,"1,081","1,146"
Borrowings +,5,6,4,3,1,0,0,28,25,21,22,22
Other Liabilities +,1,2,15,16,10,8,36,9,16,10,19,20
Total Liabilities,17,33,72,119,168,213,293,362,897,"1,014","1,143","1,209"
Fixed Assets +,2,7,9,7,5,4,33,28,27,21,25,24
CWIP,0,1,0,0,0,0,0,0,0,0,0,0
Investments,3,12,15,66,83,98,73,140,194,391,553,768
Other Assets +,12,13,48,47,80,111,188,194,676,602,565,416
Total Assets,17,33,72,119,168,213,293,362,897,"1,014","1,143","1,209"
