0,1,2,3,4,5,6,7,8,9,10,11,12
Sales +,21,49,78,105,105,115,125,143,207,264,292,326
Expenses +,15,35,57,57,51,69,71,71,121,162,196,222
Operating Profit,6,14,21,49,54,47,54,72,85,102,96,104
OPM %,29%,28%,27%,46%,51%,40%,43%,50%,41%,39%,33%,32%
Other Income +,0,0,1,1,6,11,16,21,21,57,69,64
Interest,0,0,1,0,1,0,3,3,3,3,3,2
Depreciation,0,0,3,3,3,3,6,6,7,7,8,9
Profit before tax,6,14,20,46,57,55,61,84,97,150,154,157
Tax %,0%,0%,12%,-0%,4%,13%,17%,20%,21%,22%,26%,
Net Profit +,6,14,17,46,54,48,51,68,76,117,113,112
EPS in Rs,7.71,17.11,21.50,57.99,67.25,59.20,62.95,83.49,3.79,5.72,5.50,5.45
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
