0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"7,883","7,422","8,393","9,075","8,031","8,307","8,767","9,445","9,724","9,519","10,144","10,463","10,211"
Expenses +,"6,923","6,594","7,452","8,037","7,107","7,224","7,561","8,117","8,362","8,160","8,684","8,947","8,734"
Operating Profit,960,828,941,"1,038",924,"1,083","1,206","1,328","1,362","1,359","1,460","1,516","1,476"
OPM %,12%,11%,11%,11%,12%,13%,14%,14%,14%,14%,14%,14%,14%
Other Income +,122,140,53,92,183,237,62,248,242,180,232,283,318
Interest,7,7,7,3,5,5,5,5,5,5,5,5,5
Depreciation,164,158,163,163,162,169,169,175,183,185,193,194,197
Profit before tax,911,802,824,964,940,"1,147","1,095","1,397","1,417","1,350","1,493","1,600","1,592"
Tax %,25%,22%,24%,26%,24%,25%,25%,25%,24%,25%,25%,25%,24%
Net Profit +,686,627,625,716,711,859,825,"1,054","1,073","1,016","1,123","1,204","1,203"
EPS in Rs,34.34,31.38,31.25,35.84,35.58,42.98,41.27,52.73,53.70,50.82,56.15,60.18,60.14
Raw PDF,,,,,,,,,,,,,
