0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"48,426","64,673","73,578","85,864","92,693","97,356","123,170","131,306","135,963","160,341","190,354","202,359","212,205"
Expenses +,"34,120","43,139","52,550","58,810","65,604","69,551","88,206","93,953","95,653","114,096","139,357","146,512","153,799"
Operating Profit,"14,306","21,534","21,028","27,054","27,089","27,805","34,964","37,353","40,310","46,245","50,997","55,847","58,406"
OPM %,30%,33%,29%,32%,29%,29%,28%,28%,30%,29%,27%,28%,28%
Other Income +,"2,230","3,115","4,995","3,757","4,568","5,803","7,627","8,082","4,182","7,486","5,328","6,315","9,526"
Interest,31,23,80,13,16,30,170,743,537,486,695,673,699
Depreciation,803,"1,081","1,394","1,459","1,575","1,647","1,716","2,701","3,053","3,522","3,940","3,887","4,077"
Profit before tax,"15,703","23,544","24,550","29,339","30,066","31,931","40,705","41,991","40,902","49,723","51,690","57,602","63,156"
Tax %,19%,22%,22%,21%,21%,21%,26%,21%,24%,23%,24%,24%,
Net Profit +,"12,786","18,475","19,257","23,075","23,653","25,241","30,065","33,260","30,960","38,187","39,106","43,559","48,334"
EPS in Rs,32.66,47.16,49.16,58.55,60.02,65.93,80.12,88.64,83.70,104.36,106.87,120.39,133.58
Dividend Payout %,34%,34%,80%,37%,39%,38%,37%,82%,45%,41%,108%,61%,
