0,1,2,3,4,5,6,7,8,9,10,11,12
Debtor Days,84,82,85,81,65,71,71,80,68,82,82,83
Inventory Days,,,,,,,,,,,,
Days Payable,,,,,,,,,,,,
Cash Conversion Cycle,84,82,85,81,65,71,71,80,68,82,82,83
Working Capital Days,72,52,34,66,63,59,68,69,64,33,27,30
ROCE %,54%,61%,53%,52%,42%,41%,53%,54%,53%,61%,64%,75%
