0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"40,845","42,459","44,480","46,819","49,275","49,780","49,862","50,165","50,844","51,488","52,844","53,990","53,883"
Expenses +,"29,140","30,747","32,651","34,037","35,759","36,910","36,726","36,363","36,481","36,942","38,269","39,432","39,156"
Operating Profit,"11,705","11,712","11,829","12,782","13,516","12,870","13,136","13,802","14,363","14,546","14,575","14,558","14,727"
OPM %,29%,28%,27%,27%,27%,26%,26%,28%,28%,28%,28%,27%,27%
Other Income +,"2,225","1,981",715,"1,622","1,558","1,433","1,903","1,755",851,"1,806","2,417","3,185","2,118"
Interest,126,123,184,125,136,250,138,134,204,197,145,146,211
Depreciation,925,944,960,976,996,"1,008",969,979,964,975,969,"1,008","1,125"
Profit before tax,"12,879","12,626","11,400","13,303","13,942","13,045","13,932","14,444","14,046","15,180","15,878","16,589","15,509"
Tax %,23%,22%,25%,24%,24%,25%,25%,24%,23%,25%,24%,22%,24%
Net Profit +,"9,959","9,795","8,588","10,059","10,659","9,800","10,484","10,929","10,753","11,393","12,115","12,994","11,832"
EPS in Rs,26.92,26.77,23.47,27.49,29.13,26.78,28.65,29.87,29.72,31.49,33.48,35.91,32.70
Raw PDF,,,,,,,,,,,,,
