0,1,2,3,4,5,6,7,8,9,10,11,12
Debtor Days,28,29,23,21,37,30,26,37,38,27,24,35
Inventory Days,,,,,,,,,,,,
Days Payable,,,,,,,,,,,,
Cash Conversion Cycle,28,29,23,21,37,30,26,37,38,27,24,35
Working Capital Days,-414,-467,-470,-384,-427,-307,-317,-413,-459,-409,-385,-357
ROCE %,6%,7%,7%,9%,8%,11%,8%,3%,6%,12%,10%,16%
