0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,308,302,414,495,522,628,576,518,537,698,709,"1,258","2,504"
Expenses +,169,163,247,265,304,313,354,415,383,422,456,802,"1,339"
Operating Profit,140,139,167,229,218,315,221,103,154,277,254,455,"1,165"
OPM %,45%,46%,40%,46%,42%,50%,38%,20%,29%,40%,36%,36%,47%
Other Income +,-79,-33,-25,-52,33,338,41,116,13,26,33,538,-26
Interest,1,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,24,27,52,49,48,39,44,44,51,41,49,75,87
Profit before tax,35,79,90,128,203,614,218,175,116,261,238,919,"1,052"
Tax %,17%,5%,16%,-4%,2%,8%,8%,1%,16%,25%,30%,18%,
Net Profit +,30,75,76,133,199,564,201,174,97,195,167,753,794
EPS in Rs,0.95,2.40,2.43,4.12,12.34,34.94,12.94,12.85,7.20,14.42,12.32,55.65,58.68
Dividend Payout %,140%,56%,69%,61%,76%,34%,77%,44%,97%,94%,97%,27%,
