0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"1,853",158,190,186,232,335,500,579,576,765,"1,150","1,783","2,142"
Expenses +,"1,757",39,48,119,101,121,152,168,166,306,537,822,796
Operating Profit,96,119,142,67,131,215,348,412,410,459,613,961,"1,346"
OPM %,5%,75%,75%,36%,57%,64%,70%,71%,71%,60%,53%,54%,63%
Other Income +,13,8,3,0,6,2,4,2,0,1,1,1,12
Interest,0,2,5,12,38,95,170,216,209,235,385,620,860
Depreciation,1,3,4,3,4,6,5,8,9,7,39,80,84
Profit before tax,108,123,136,52,95,116,177,190,193,217,190,262,414
Tax %,31%,33%,37%,21%,39%,37%,27%,28%,26%,25%,25%,24%,
Net Profit +,74,82,85,41,58,72,129,136,144,162,142,198,313
EPS in Rs,0.91,1.00,1.04,0.50,0.70,0.88,1.57,1.65,1.75,1.97,1.72,2.40,3.79
Dividend Payout %,7%,6%,6%,13%,9%,7%,5%,3%,5%,5%,7%,6%,
