0,1,2,3,4,5,6,7,8,9,10,11,12
Cash from Operating Activity +,-22,-131,56,-71,-510,-661,-571,308,-138,-864,"-2,249","-2,690"
Cash from Investing Activity +,4,129,-84,1,44,-47,-60,-245,-266,78,170,-232
Cash from Financing Activity +,-4,-6,44,69,460,726,628,-43,512,723,"3,433","1,692"
Net Cash Flow,-22,-7,16,-1,-7,19,-2,20,107,-63,"1,354","-1,230"
