0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,200,230,217,269,301,357,393,444,476,465,523,554,601
Expenses +,75,119,97,114,165,160,192,214,221,194,226,187,188
Operating Profit,125,111,121,155,136,197,201,230,255,271,296,367,412
OPM %,62%,48%,56%,58%,45%,55%,51%,52%,54%,58%,57%,66%,69%
Other Income +,0,1,1,2,1,1,1,1,1,1,3,4,4
Interest,58,64,72,90,101,122,131,146,165,178,197,234,250
Depreciation,2,3,3,6,13,18,14,21,23,22,19,21,22
Profit before tax,65,44,47,61,24,58,57,64,68,73,83,115,144
Tax %,26%,23%,26%,33%,25%,17%,25%,25%,25%,23%,25%,25%,25%
Net Profit +,49,34,35,41,18,48,43,48,51,56,62,86,108
EPS in Rs,0.59,0.41,0.42,0.50,0.22,0.59,0.52,0.58,0.62,0.68,0.75,1.05,1.31
Raw PDF,,,,,,,,,,,,,
