0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,473,518,442,490,555,507,513,519,563,533,511,525,563
Expenses +,439,491,439,462,518,551,441,452,492,480,466,488,532
Operating Profit,34,26,3,28,37,-44,72,67,71,52,45,38,31
OPM %,7%,5%,1%,6%,7%,-9%,14%,13%,13%,10%,9%,7%,6%
Other Income +,37,61,49,"1,108",60,"1,918",56,64,48,39,42,74,672
Interest,0,0,0,0,21,48,48,55,56,40,55,60,65
Depreciation,28,28,29,30,29,29,30,31,31,30,30,30,34
Profit before tax,43,59,22,"1,106",46,"1,796",50,46,33,22,1,21,604
Tax %,41%,36%,34%,11%,24%,-1%,6%,25%,27%,36%,18%,85%,3%
Net Profit +,26,38,15,988,35,"1,811",47,35,24,14,1,3,584
EPS in Rs,0.21,0.32,0.12,8.23,0.29,15.08,0.39,0.29,0.20,0.12,0.01,0.03,4.86
Raw PDF,,,,,,,,,,,,,
