0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,421,541,637,765,882,"1,024","1,165","1,274","1,491","1,879","1,769","1,967","2,126"
Expenses +,334,406,486,562,651,768,882,946,"1,083","1,366","1,308","1,408","1,510"
Operating Profit,87,135,151,204,230,256,283,328,408,512,461,559,616
OPM %,21%,25%,24%,27%,26%,25%,24%,26%,27%,27%,26%,28%,29%
Other Income +,3,8,17,20,28,31,46,58,51,53,47,60,96
Interest,0,0,0,0,1,1,1,15,15,29,34,27,21
Depreciation,18,31,32,32,26,31,36,68,70,76,82,77,75
Profit before tax,71,111,135,192,231,256,292,303,374,461,391,516,616
Tax %,31%,34%,32%,34%,34%,34%,33%,26%,25%,25%,25%,26%,
Net Profit +,49,74,92,126,152,168,195,223,280,345,292,384,462
EPS in Rs,"1,456.93",137.77,16.80,15.21,18.36,20.19,23.45,26.78,33.61,41.42,35.07,46.04,55.32
Dividend Payout %,11%,8%,9%,16%,16%,22%,26%,45%,60%,29%,17%,39%,
