0,1,2,3,4,5,6,7,8,9
Debtor Days,0,0,0,0,0,0,0,0,0
Inventory Days,,,,,,,,,
Days Payable,,,,,,,,,
Cash Conversion Cycle,0,0,0,0,0,0,0,0,0
Working Capital Days,115,-5,-55,-4,-10,-8,-11,-2,-4
ROCE %,,14%,14%,14%,13%,12%,13%,14%,13%
