0,1,2,3,4,5,6,7,8,9
Cash from Operating Activity +,,,,,-533,-488,-676,"-1,129",-508
Cash from Investing Activity +,,,,,-156,68,-62,110,21
Cash from Financing Activity +,,,,,"1,064",346,726,"1,045",322
Net Cash Flow,,,,,375,-74,-11,27,-164
