0,1,2,3,4,5,6,7,8,9,10
Equity Capital,62,79,79,79,95,95,99,100,100,100
Reserves,150,442,506,610,"1,575","1,796","2,667","3,011","3,308","3,465"
Borrowings +,277,306,826,"1,552","1,830","2,174","2,347","3,481","3,993","4,770"
Other Liabilities +,11,18,40,22,16,24,43,37,35,40
Total Liabilities,501,845,"1,450","2,263","3,515","4,089","5,156","6,629","7,436","8,375"
Fixed Assets +,2,5,4,4,10,10,12,15,22,28
CWIP,0,0,0,0,0,0,0,0,0,0
Investments,7,8,60,90,151,205,255,205,207,221
Other Assets +,492,833,"1,386","2,169","3,354","3,875","4,889","6,408","7,206","8,126"
Total Assets,501,845,"1,450","2,263","3,515","4,089","5,156","6,629","7,436","8,375"
