0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,175,190,202,228,245,254,255,269,276,288,299,314,329
Expenses +,29,31,33,43,40,50,30,41,46,54,51,48,46
Operating Profit,147,159,169,185,205,204,225,227,230,235,248,266,283
OPM %,84%,84%,84%,81%,84%,80%,88%,85%,83%,81%,83%,85%,86%
Other Income +,6,9,8,9,8,9,5,7,8,12,7,9,9
Interest,42,42,46,58,69,70,76,82,81,85,91,97,108
Depreciation,1,2,2,2,2,2,2,3,2,2,3,3,3
Profit before tax,109,123,130,134,142,141,152,150,155,159,162,176,180
Tax %,22%,23%,21%,20%,25%,22%,22%,21%,22%,23%,21%,22%,21%
Net Profit +,85,94,102,107,106,110,119,119,121,122,127,137,142
EPS in Rs,1.70,1.90,2.05,2.14,2.14,2.20,2.39,2.38,2.42,2.45,2.55,2.74,2.84
Raw PDF,,,,,,,,,,,,,
