0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"6,013","5,909","6,802","6,795","7,583","9,186","10,588","9,857","10,041","12,410","14,592","16,029","16,438"
Expenses +,"5,227","5,093","5,892","5,773","6,499","7,942","9,175","8,488","8,684","11,011","13,023","14,155","14,495"
Operating Profit,786,816,910,"1,021","1,084","1,244","1,413","1,369","1,357","1,399","1,569","1,874","1,943"
OPM %,13%,14%,13%,15%,14%,14%,13%,14%,14%,11%,11%,12%,12%
Other Income +,75,35,31,47,103,14,146,40,65,"4,774",132,83,84
Interest,6,2,3,3,5,7,7,11,25,40,30,50,44
Depreciation,113,126,140,158,206,246,314,363,379,413,456,497,502
Profit before tax,742,723,798,908,976,"1,006","1,239","1,035","1,018","5,720","1,215","1,410","1,480"
Tax %,30%,33%,32%,31%,29%,34%,32%,20%,26%,18%,26%,25%,
Net Profit +,523,487,546,624,694,668,844,826,758,"4,684",904,"1,053","1,106"
EPS in Rs,6.15,5.73,6.42,7.35,8.16,7.86,9.93,9.71,8.92,55.11,10.63,12.39,13.01
Dividend Payout %,26%,31%,34%,33%,29%,31%,24%,42%,22%,4%,19%,16%,
