0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"1,036","1,209","1,313","1,111","1,148","1,167","1,037",982,904,"1,131","1,078","1,035",984
Expenses +,804,950,"1,030",846,"1,002","1,063",908,828,751,971,868,841,802
Operating Profit,232,258,283,265,147,105,129,154,153,159,210,194,182
OPM %,22%,21%,22%,24%,13%,9%,12%,16%,17%,14%,20%,19%,19%
Other Income +,24,11,43,25,12,50,32,64,13,95,9,97,17
Interest,4,2,5,9,5,7,8,5,4,6,6,5,4
Depreciation,19,19,20,20,19,19,20,20,20,21,22,22,23
Profit before tax,232,248,301,261,134,129,132,193,142,228,192,264,172
Tax %,25%,25%,26%,22%,24%,18%,24%,19%,20%,19%,20%,20%,20%
Net Profit +,175,187,224,203,102,106,101,156,113,185,153,210,137
EPS in Rs,5.09,5.44,6.55,5.94,2.98,3.10,2.96,4.58,3.30,5.40,4.49,6.16,4.02
Raw PDF,,,,,,,,,,,,,
