0,1,2,3,4,5,6,7,8,9,10,11,12
Debtor Days,114,140,137,106,138,247,136,98,47,48,28,49
Inventory Days,,,90,,,,,,,,,
Days Payable,,,296,,,,,,,,,
Cash Conversion Cycle,114,140,-69,106,138,247,136,98,47,48,28,49
Working Capital Days,49,93,107,102,116,162,99,59,11,26,4,6
ROCE %,15%,17%,13%,18%,13%,12%,13%,18%,21%,25%,18%,28%
