0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,529,557,563,612,617,624,623,647,693,682,721,644,660
Expenses +,430,456,463,523,547,566,547,553,576,587,584,579,582
Operating Profit,99,102,101,90,70,58,76,93,117,95,138,65,78
OPM %,19%,18%,18%,15%,11%,9%,12%,14%,17%,14%,19%,10%,12%
Other Income +,15,23,23,-2,16,-3,9,50,21,18,24,23,18
Interest,3,3,2,3,3,2,2,2,2,1,1,3,3
Depreciation,17,18,18,19,20,19,20,20,19,18,18,19,18
Profit before tax,94,104,103,66,64,34,63,122,117,94,143,66,76
Tax %,26%,25%,25%,24%,26%,24%,25%,20%,27%,27%,24%,22%,23%
Net Profit +,70,78,77,50,47,26,47,97,86,69,108,52,58
EPS in Rs,2.50,2.79,2.75,1.84,1.73,0.95,1.71,3.51,3.12,2.50,3.93,1.88,2.09
Raw PDF,,,,,,,,,,,,,
