0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"3,635","3,633","4,651","5,017","4,867","4,301","5,383","5,106","4,681","4,787","7,193","5,288","4,746"
Expenses +,"2,744","2,710","3,704","3,980","3,534","3,395","4,378","4,110","3,777","3,830","5,544","4,353","3,823"
Operating Profit,892,924,947,"1,037","1,334",906,"1,005",996,904,956,"1,649",934,923
OPM %,25%,25%,20%,21%,27%,21%,19%,20%,19%,20%,23%,18%,19%
Other Income +,87,"-1,209",110,117,95,114,100,140,93,157,145,201,162
Interest,145,138,157,176,177,158,192,194,191,204,227,228,232
Depreciation,309,315,260,263,265,271,274,277,283,288,293,266,269
Profit before tax,525,-739,640,715,986,591,639,664,522,621,"1,273",641,585
Tax %,28%,-29%,25%,31%,30%,26%,25%,26%,26%,29%,24%,28%,37%
Net Profit +,380,-526,481,493,695,435,479,492,384,444,973,464,369
EPS in Rs,7.91,-10.94,10.00,10.26,14.46,9.05,9.96,10.23,7.98,9.23,20.25,9.66,7.32
Raw PDF,,,,,,,,,,,,,
