0,1,2,3,4,5,6,7,8,9,10,11,12
Cash from Operating Activity +,194,243,281,165,195,356,339,276,657,586,520,571
Cash from Investing Activity +,-143,-174,-214,-37,-141,-275,-154,41,-496,-393,-107,-45
Cash from Financing Activity +,-39,-50,-66,-127,-58,-96,-159,-321,-128,-223,-346,-324
Net Cash Flow,12,20,2,1,-5,-14,26,-3,33,-30,67,202
