0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,997,"1,184","1,242","1,447","1,733","1,733","1,960","2,108","2,480","3,575","5,118","6,514","10,171"
Expenses +,719,818,940,"1,122","1,363","1,351","1,579","1,675","1,869","2,705","3,964","5,183","8,694"
Operating Profit,278,366,303,326,370,381,381,434,611,870,"1,154","1,331","1,477"
OPM %,28%,31%,24%,22%,21%,22%,19%,21%,25%,24%,23%,20%,15%
Other Income +,29,34,96,79,95,128,104,159,118,132,44,164,200
Interest,0,0,0,0,0,0,0,4,4,7,13,17,37
Depreciation,60,58,49,59,61,54,46,56,57,84,134,162,171
Profit before tax,247,342,349,346,404,455,438,533,668,912,"1,050","1,317","1,470"
Tax %,26%,27%,26%,28%,27%,25%,28%,23%,24%,25%,25%,25%,
Net Profit +,182,249,259,250,294,342,315,408,505,686,791,986,"1,051"
EPS in Rs,11.36,15.54,16.21,15.60,18.38,21.38,19.69,26.67,33.03,44.86,51.74,63.98,68.09
Dividend Payout %,20%,19%,46%,26%,24%,23%,28%,22%,30%,35%,48%,41%,
