0,1,2,3,4,5,6,7,8,9,10,11,12
Debtor Days,74,70,75,96,101,72,45,50,44,45,75,94
Inventory Days,,,,,,,,,,,,
Days Payable,,,,,,,,,,,,
Cash Conversion Cycle,74,70,75,96,101,72,45,50,44,45,75,94
Working Capital Days,55,60,48,92,91,96,63,58,33,44,71,85
ROCE %,27%,30%,27%,22%,23%,23%,19%,23%,25%,29%,29%,29%
