0,1,2,3,4,5,6,7,8,9,10,11,12,13
Equity Capital,308,309,310,310,397,397,397,397,397,397,397,440,493
Reserves,"8,497","9,176","9,793","9,996","18,960","19,576","20,615","21,808","19,919","21,808","28,108","36,567","45,432"
Borrowings +,43,40,29,33,29,24,40,41,368,351,949,664,496
Other Liabilities +,"3,465","3,439","3,768","3,822","3,967","4,630","4,134","4,744","4,797","5,627","6,449","6,458","7,359"
Total Liabilities,"12,313","12,965","13,901","14,162","23,353","24,627","25,187","26,991","25,481","28,183","35,904","44,129","53,780"
Fixed Assets +,"5,862","6,063","6,227","6,092","5,942","5,722","5,664","5,812","5,932","7,671","8,620","8,803","9,076"
CWIP,520,695,690,414,320,398,610,"1,109","1,874",951,842,"1,548","3,837"
Investments,"1,656","1,788","2,173","2,226","11,845","11,845","11,814","11,789","11,792","11,774","11,776","14,058","26,105"
Other Assets +,"4,275","4,419","4,811","5,430","5,246","6,662","7,099","8,281","5,884","7,787","14,667","19,719","14,762"
Total Assets,"12,313","12,965","13,901","14,162","23,353","24,627","25,187","26,991","25,481","28,183","35,904","44,129","53,780"
