0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"43,588","43,792","49,971","57,538","68,035","79,763","86,020","75,611","70,332","88,296","117,523","140,933","149,461"
Expenses +,"39,325","38,590","43,209","48,518","57,620","67,647","74,968","68,266","64,928","82,549","106,504","124,483","131,387"
Operating Profit,"4,263","5,202","6,761","9,020","10,415","12,116","11,052","7,345","5,404","5,747","11,019","16,449","18,074"
OPM %,10%,12%,14%,16%,15%,15%,13%,10%,8%,7%,9%,12%,12%
Other Income +,779,717,783,"1,326","2,237","1,991","2,508","3,378","2,887","1,748","2,150","3,807","4,553"
Interest,190,176,206,82,89,346,76,133,101,126,187,193,222
Depreciation,"1,861","2,084","2,470","2,820","2,602","2,758","3,019","3,526","3,032","2,786","2,823","3,022","3,016"
Profit before tax,"2,991","3,658","4,868","7,444","9,960","11,003","10,466","7,065","5,159","4,582","10,159","17,040","19,389"
Tax %,20%,24%,24%,28%,26%,30%,28%,20%,18%,18%,21%,22%,
Net Profit +,"2,392","2,783","3,711","5,364","7,350","7,722","7,501","5,651","4,230","3,766","8,049","13,209","14,122"
EPS in Rs,79.19,92.13,122.85,177.58,243.32,255.62,248.30,187.06,140.02,124.68,266.46,420.14,449.17
Dividend Payout %,10%,13%,20%,20%,31%,31%,32%,32%,32%,48%,34%,30%,
