0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"23,246","26,740","26,500","29,931","29,044","32,048","32,327","37,062","33,309","38,235","35,531","37,203","38,492"
Expenses +,"21,687","24,313","24,588","27,162","26,211","28,698","29,344","32,278","29,401","33,550","31,029","32,786","34,022"
Operating Profit,"1,559","2,427","1,912","2,769","2,833","3,350","2,983","4,784","3,908","4,685","4,502","4,417","4,470"
OPM %,7%,9%,7%,9%,10%,10%,9%,13%,12%,12%,13%,12%,12%
Other Income +,328,474,88,612,861,743,"1,001",844,933,"1,118",975,"1,475",985
Interest,25,56,27,30,30,99,46,35,35,76,57,40,48
Depreciation,640,647,651,723,710,739,748,794,752,729,731,751,805
Profit before tax,"1,222","2,198","1,322","2,628","2,954","3,255","3,190","4,799","4,054","4,998","4,689","5,100","4,602"
Tax %,17%,16%,23%,22%,20%,19%,22%,23%,23%,22%,22%,40%,23%
Net Profit +,"1,011","1,839","1,013","2,062","2,351","2,624","2,485","3,716","3,130","3,878","3,650","3,069","3,525"
EPS in Rs,33.48,60.87,33.53,68.24,77.84,86.85,82.27,123.03,99.55,123.34,116.09,97.62,112.12
Raw PDF,,,,,,,,,,,,,
